thread_id,created_at,n_turns,customer_opening,first_brand_reply,transcript,reply_is_handoff
1109392,2016-10-30 15:20:06+00:00,4,trying hard to make reservations but keep getting thrown off website prior to completed transaction. Suggestions???,Hi there. My apologies for the troubles. Please reach out to our Online Support team at 1 888 750 3284 and they will... 1/2,CUSTOMER: @user trying hard to make reservations but keep getting thrown off website prior to completed transaction. Suggestions??? BRAND: @user Hi there. My apologies for the troubles. Please reach out to our Online Support team at 1 888 750 3284 and they will... 1/2 CUSTOMER: @user Unable to complete reservation using iPhone or iPad. This happens every time. I've re-downloaded Delta app twice. No change. Suggestions? BRAND: @user ...them by calling this number: 1-888-750-3284. *AFM 2/2,False
159519,2017-03-02 22:22:52+00:00,5,joined @user as chief captain,"Hi, Colt. We would love to have you join the team! 😉","CUSTOMER: joined @user as chief captain BRAND: @user Hi, Colt. We would love to have you join the team! 😉 *SL CUSTOMER: @user see you at terminal BRAND: @user 😉 *SL CUSTOMER: @user @user @user no c4s?",False
1192093,2017-05-06 19:46:34+00:00,4,do you still have a direct flight from lax to mga ? When is it? Thanks,"I appreciate your patience, Brandon! Unfortunately, we're currently not offering non-stop services from LAX-MGA.","CUSTOMER: @user do you still have a direct flight from lax to mga ? When is it? Thanks BRAND: @user I appreciate your patience, Brandon! Unfortunately, we're currently not offering non-stop services from LAX-MGA. *FN CUSTOMER: @user Any update on bringing this back this winter? CUSTOMER: @user @user No",False
1548105,2017-05-29 21:05:27+00:00,6,yr customer service sucks &amp; after 3 months and no response from abandoning 2 underage girls mid-flight #DontFlyDelta again,"Hello, Sara. Not good to hear. Our apologies for this inconvenience. If you need any help, let us know.","CUSTOMER: @user yr customer service sucks &amp; after 3 months and no response from abandoning 2 underage girls mid-flight #DontFlyDelta again BRAND: @user Hello, Sara. Not good to hear. Our apologies for this inconvenience. If you need any help, let us know. *ARD CUSTOMER: @user Still no apology from Delta - after 9 months. Having a baby is more reliable than dealing with @user BRAND: @user Hi, Sara. Sorry to hear about this. Please DM us your case number via this link. *ALA <URL> CUSTOMER: @user RE: Case Number 23758195 RE: Case Number 23592093 BRAND: @user Sara, I am unable to access the case number you provided. Please advise when you submitted your email and the email address it was... 1/2",False
2574224,2017-06-19 22:00:07+00:00,4,DL5526 2 hour delay and now they inform us that the pilot ran out of available hours - now another 40 min delay?? Frustrated!!,"Our apologies for the delay, Duane. We are working on having you on your way soon.","CUSTOMER: @user DL5526 2 hour delay and now they inform us that the pilot ran out of available hours - now another 40 min delay?? Frustrated!! BRAND: @user Our apologies for the delay, Duane. We are working on having you on your way soon. *ALA CUSTOMER: @user @user. Why so many delays at Southbend ind SBN. Currently 1 hour delay now 2 hour delay for a 1 hour flight? What’s up? BRAND: @user Hey Duane, delays are frustrating and we 're sorry you've been affected. Please DM your confirmation number if you need rebooking help. *TLT <URL>",False
2677335,2017-06-23 18:49:00+00:00,3,Huge thank u 2 @user @user @user for dozens of amazing agents &amp; staff who made morning amazing b4 leaving 4 #Europe #travel ✈️🙏🏻🇺🇸,"Hi, there. Thank you for the kudos. We appreciate you flying Delta Air Lines. Enjoy your flight!","CUSTOMER: Huge thank u 2 @user @user @user for dozens of amazing agents &amp; staff who made morning amazing b4 leaving 4 #Europe #travel ✈️🙏🏻🇺🇸 BRAND: @user Hi, there. Thank you for the kudos. We appreciate you flying Delta Air Lines. Enjoy your flight! *AJL CUSTOMER: @user @user <URL>",False
1336469,2017-07-03 21:52:09+00:00,3,"hi. I paid my bill for the $2000 spending required to unlock my AMEX card 50,000 bonus points, and they haven't been awarded. Hlp plz",Please reach out to Amex for further assistance with the posting of the bonus miles since you've made the requirements.,"CUSTOMER: @user hi. I paid my bill for the $2000 spending required to unlock my AMEX card 50,000 bonus points, and they haven't been awarded. Hlp plz CUSTOMER: @user Been over twelve weeks now. What's up, D? BRAND: @user Please reach out to Amex for further assistance with the posting of the bonus miles since you've made the requirements.",False
259347,2017-07-24 18:43:27+00:00,8,Today my flight was delayed by 7 hours. @user I'm coming to collect my coin fam.,"Hey Tamika, my apologies for this experience. If we can assist with flt info or offer rebook help, pls let us know.","CUSTOMER: Today my flight was delayed by 7 hours. @user I'm coming to collect my coin fam. BRAND: @user Hey Tamika, my apologies for this experience. If we can assist with flt info or offer rebook help, pls let us know. *AVM CUSTOMER: @user Sure. I'd like to submit a reimbursement request (not TCV) for flight DL37 from LHR to PDX 07/24/17. Thanks! BRAND: @user Hi Tamika. May I have your confirmation number? *ALS CUSTOMER: @user <URL> BRAND: @user Tamika, the ticket is showing a flown status, so you are ineligible for a refund. *ACJ CUSTOMER: @user Even when it was delayed by 7 hours? Interesting. CUSTOMER: @user Moral of the story: never try play your girl. Thanks for the refund babes x",False
1793534,2017-07-29 15:28:27+00:00,4,why is it cheaper for me to fly out of Toronto than Detroit when I'd be flying via a connector in Detroit? <URL>,"I'm sorry, if you don't board on the first leg, then the system will automatically cancel out the remainder of your trip.","CUSTOMER: @user why is it cheaper for me to fly out of Toronto than Detroit when I'd be flying via a connector in Detroit? <URL> CUSTOMER: @user Couldn't I just buy the cheaper ticket and skip the first leg? Makes more sense as I'm already near Detroit. BRAND: @user I'm sorry, if you don't board on the first leg, then the system will automatically cancel out the remainder of your trip. *AST CUSTOMER: @user 1/2 Sorry for the late response, but that policy is really stupid. I'd save money, time, and fuel, if I skipped the first half..............",False
810171,2017-08-07 14:32:00+00:00,7,"Orlando to Amsterdam nonstop on @user begins March 30, 2018 | Delta News Hub <URL> <URL>","Hi, Daniela. Could you please clarify your question?","CUSTOMER: Orlando to Amsterdam nonstop on @user begins March 30, 2018 | Delta News Hub <URL> <URL> CUSTOMER: @user @user Is is a codeshare flight with KLM or a full DL one? BRAND: @user @user Hi, Daniela. Could you please clarify your question? *AMV CUSTOMER: @user @user being part of the new hubs DL growing. Will have the MCO AMS as a full DL flight or will be codeshare with his skymiles partner KLM? BRAND: @user @user MCO-AMS flight will be operated by Delta. *AMV CUSTOMER: @user @user @user Will this flight have dinner services in Delta One? 9:45p departure so I'm not sure. BRAND: @user Hi Michelle! Yes dinner will be served.",False
